Victims,Crime,City,Zip Code,Place,Latitude,Longitude,Police District Number,Location
1,All Other Offenses,SILVER SPRING,20904,Residence - Single Family,39.07070343,-76.97068822,3D,"(39.0707, -76.9707)"
1,All Other Offenses,GAITHERSBURG,20879,Street - Residential,39.16035035,-77.2169577,6D,"(39.1604, -77.217)"
1,Simple Assault,GERMANTOWN,20874,Residence - Apartment/Condo,39.192864,-77.26295381,5D,"(39.1929, -77.263)"
1,Aggravated Assault,SILVER SPRING,20904,Residence - Apartment/Condo,39.08702,-76.9404,3D,"(39.087, -76.9404)"
1,Simple Assault,SILVER SPRING,20910,Street - Other,0,0,2D,"(0.0, 0.0)"
1,Theft From Motor Vehicle,ROCKVILLE,20852,Parking Lot - Commercial,39.0584,-77.1263,1D,"(39.0584, -77.1263)"
2,Simple Assault,ROCKVILLE,20850,Residence - Apartment/Condo,39.10688,-77.1922,6D,"(39.1069, -77.1922)"
1,All Other Offenses,ROCKVILLE,20850,Residence - Apartment/Condo,39.10688,-77.1922,6D,"(39.1069, -77.1922)"
1,Motor Vehicle Theft,ROCKVILLE,20852,Parking Lot - Commercial,39.0584,-77.1263,1D,"(39.0584, -77.1263)"
1,All Other Offenses,ROCKVILLE,20853,Residence - Single Family,39.08808828,-77.10725216,4D,"(39.0881, -77.1073)"
1,Driving Under the Influence,MONTGOMERY VILLAGE,20886,Street - In vehicle,39.17469,-77.2052,6D,"(39.1747, -77.2052)"
1,All Other Offenses,SILVER SPRING,20906,Residence - Driveway,39.05607076,-77.08459753,4D,"(39.0561, -77.0846)"
1,All Other Offenses,ROCKVILLE,20850,Retail - Other,39.09663573,-77.15325879,1D,"(39.0966, -77.1533)"
1,Motor Vehicle Theft,,20912,Parking Lot - Commercial,39.0358507,-77.02689045,8D,"(39.0359, -77.0269)"
1,Drug Equipment Violations,GERMANTOWN,20874,Street - In vehicle,39.17774375,-77.26561864,5D,"(39.1777, -77.2656)"
7,"Human Trafficking, Commercial Sex Acts",ROCKVILLE,20850,Retail - Other,39.09663573,-77.15325879,1D,"(39.0966, -77.1533)"
1,Theft from Building,GAITHERSBURG,20877,Commercial - Industrial park,39.11761,-77.1898,6D,"(39.1176, -77.1898)"
1,Driving Under the Influence,POTOMAC,20854,Street - In vehicle,39.08087,-77.1712,1D,"(39.0809, -77.1712)"
1,Theft from Building,SILVER SPRING,20910,Residence - Apartment/Condo,38.99406356,-77.02206189,3D,"(38.9941, -77.0221)"
1,Identity Theft,SILVER SPRING,20910,Street - Other,38.99406356,-77.02206189,3D,"(38.9941, -77.0221)"
1,All Other Offenses,MONTGOMERY VILLAGE,20886,Parking Lot - Commercial,39.16991959,-77.20550013,6D,"(39.1699, -77.2055)"
1,Disorderly Conduct,MONTGOMERY VILLAGE,20886,Parking Lot - Commercial,39.16991959,-77.20550013,6D,"(39.1699, -77.2055)"
1,Aggravated Assault,ROCKVILLE,20852,Parking Lot - Commercial,39.06679488,-77.15023041,1D,"(39.0668, -77.1502)"
1,All Other Offenses,ROCKVILLE,20852,Parking Lot - Commercial,39.06679488,-77.15023041,1D,"(39.0668, -77.1502)"
1,Weapon Law Violations,SILVER SPRING,20901,Street - In vehicle,38.99963333,-76.99538955,3D,"(38.9996, -76.9954)"
1,Shoplifting,GERMANTOWN,20874,Retail - Drug Store/Pharmacy,39.14617169,-77.27460667,5D,"(39.1462, -77.2746)"
1,All Other Offenses,GAITHERSBURG,20878,Government Building,39.11304,-77.2363,6D,"(39.113, -77.2363)"
1,Simple Assault,SILVER SPRING,20902,School - Elementary/Secondary,39.06512,-77.0372,4D,"(39.0651, -77.0372)"
1,Forcible Rape,GAITHERSBURG,20878,Residence - Single Family,39.13628,-77.2202,6D,"(39.1363, -77.2202)"
1,Forcible Sodomy,GAITHERSBURG,20878,Residence -Townhouse/Duplex,39.13628,-77.2202,6D,"(39.1363, -77.2202)"
1,Theft From Motor Vehicle,BROOKEVILLE,20833,Residence - Driveway,0,0,4D,"(0.0, 0.0)"
1,Credit Card/Automatic Teller Machine Fraud,BROOKEVILLE,20833,Gas Station,0,0,4D,"(0.0, 0.0)"
1,"Family Offenses, NonViolent",ROCKVILLE,20852,Residence - Apartment/Condo,39.04854,-77.1083,2D,"(39.0485, -77.1083)"
1,All other Larceny,BETHESDA,20817,Other/Unknown,39.02207,-77.1474,2D,"(39.0221, -77.1474)"
1,Destruction/Damage/Vandalism of Property,GERMANTOWN,20874,Street - Residential,39.18423528,-77.26983739,5D,"(39.1842, -77.2698)"
1,Theft From Motor Vehicle,SILVER SPRING,20904,Parking Lot - Commercial,39.06081,-76.9634,3D,"(39.0608, -76.9634)"
1,All Other Offenses,GAITHERSBURG,20878,Hospital/Emergency Care Center,39.11304,-77.2363,1D,"(39.113, -77.2363)"
1,Simple Assault,ROCKVILLE,20853,Residence - Single Family,39.09130908,-77.1126953,4D,"(39.0913, -77.1127)"
1,Liquor Law Violations,TAKOMA PARK,20912,Street - Commercial,38.99650712,-77.00315312,3D,"(38.9965, -77.0032)"
1,Disorderly Conduct,TAKOMA PARK,20912,Street - Residential,38.99650712,-77.00315312,3D,"(38.9965, -77.0032)"
1,Embezzlement,ROCKVILLE,20852,Commercial - Office Building,39.05157,-77.1472,2D,"(39.0516, -77.1472)"
1,Aggravated Assault,GERMANTOWN,20874,Street - Bus Stop,39.16476,-77.2473,5D,"(39.1648, -77.2473)"
1,False Pretenses/Swindle/Confidence Game,CLARKSBURG,20871,Other/Unknown,39.2436,-77.2772,5D,"(39.2436, -77.2772)"
1,All Other Offenses,BURTONSVILLE,20866,Wooded Area,0,0,3D,"(0.0, 0.0)"
1,Simple Assault,GAITHERSBURG,20878,Residence - Apartment/Condo,39.11575942,-77.20388469,6D,"(39.1158, -77.2039)"
1,Disorderly Conduct,GAITHERSBURG,20878,Residence - Apartment/Condo,39.11575942,-77.20388469,6D,"(39.1158, -77.2039)"
1,Simple Assault,SILVER SPRING,20901,Residence - Single Family,39.03077126,-77.02803995,4D,"(39.0308, -77.028)"
1,Destruction/Damage/Vandalism of Property,SILVER SPRING,20901,Residence - Single Family,39.03077126,-77.02803995,4D,"(39.0308, -77.028)"
1,False Pretenses/Swindle/Confidence Game,GARRETT PARK,20896,Grocery/Supermarket,39.03321,-77.0954,2D,"(39.0332, -77.0954)"
1,Disorderly Conduct,GAITHERSBURG,20879,Street - Bus Stop,39.16021587,-77.21536922,6D,"(39.1602, -77.2154)"
1,All other Larceny,ROCKVILLE,20850,Street - Commercial,39.09207,-77.1533,1D,"(39.0921, -77.1533)"
1,Identity Theft,SILVER SPRING,20906,Cyberspace,39.04437,-77.0842,4D,"(39.0444, -77.0842)"
1,All other Larceny,CHEVY CHASE,20815,Residence - Apartment/Condo,38.98004,-77.0921,2D,"(38.98, -77.0921)"
1,Motor Vehicle Theft,POTOMAC,20854,Residence - Driveway,39.04796,-77.1626,1D,"(39.048, -77.1626)"
1,All other Larceny,SILVER SPRING,20904,Other/Unknown,39.07145073,-77.00322468,3D,"(39.0715, -77.0032)"
1,Motor Vehicle Theft,TAKOMA PARK,20901,Street - Other,0,0,3D,"(0.0, 0.0)"
1,Sexual Assault With An Object,SILVER SPRING,20903,Residence - Apartment/Condo,38.9991,-76.9898,3D,"(38.9991, -76.9898)"
1,Liquor Law Violations,SILVER SPRING,,Parking Lot - Commercial,39.05617402,-77.08266316,4D,"(39.0562, -77.0827)"
1,Motor Vehicle Theft,SILVER SPRING,20904,Auto Dealership,39.07897232,-76.94676186,3D,"(39.079, -76.9468)"
1,Aggravated Assault,SILVER SPRING,20910,Residence - Apartment/Condo,38.99013007,-77.03180357,3D,"(38.9901, -77.0318)"
1,All Other Offenses,GAITHERSBURG,20879,Other/Unknown,39.16057,-77.223,6D,"(39.1606, -77.223)"
1,Forcible Sodomy,GAITHERSBURG,20878,Parking Lot - Residential,39.12547,-77.2429,6D,"(39.1255, -77.2429)"
1,Robbery,SILVER SPRING,20902,Street - Residential,39.05672931,-77.04990499,4D,"(39.0567, -77.0499)"
1,Shoplifting,GERMANTOWN,20876,Retail - Department/Discount Store,39.1982954,-77.2448997,5D,"(39.1983, -77.2449)"
1,Forcible Sodomy,GAITHERSBURG,20878,Residence - Single Family,39.0873,-77.2264,1D,"(39.0873, -77.2264)"
1,Drug/Narcotic Violations,BETHESDA,20817,Parking Lot - School,38.98831008,-77.1275569,2D,"(38.9883, -77.1276)"
1,All Other Offenses,BURTONSVILLE,20866,Residence -Townhouse/Duplex,39.092,-76.9398,3D,"(39.092, -76.9398)"
1,Shoplifting,GAITHERSBURG,20877,Retail - Appliances/Electronics,39.11326692,-77.18656795,6D,"(39.1133, -77.1866)"
1,False Pretenses/Swindle/Confidence Game,BETHESDA,20816,Other/Unknown,38.95726,-77.1077,2D,"(38.9573, -77.1077)"
1,False Pretenses/Swindle/Confidence Game,CHEVY CHASE,20815,Cyberspace,38.96205,-77.089,2D,"(38.962, -77.089)"
1,All Other Offenses,GAITHERSBURG,20878,Residence - Single Family,39.14457,-77.2353,6D,"(39.1446, -77.2353)"
1,Theft From Motor Vehicle,CHEVY CHASE,20815,Residence - Driveway,39.00547,-77.072,2D,"(39.0055, -77.072)"
1,Counterfeiting/Forgery,SILVER SPRING,20904,Other/Unknown,39.06272996,-76.9428443,3D,"(39.0627, -76.9428)"
1,Simple Assault,SILVER SPRING,20910,Residence - Apartment/Condo,38.99013007,-77.03180357,3D,"(38.9901, -77.0318)"
1,Identity Theft,SILVER SPRING,20902,Other/Unknown,39.04818,-77.0566,4D,"(39.0482, -77.0566)"
1,Liquor Law Violations,SILVER SPRING,20910,Street - In vehicle,38.99170053,-77.02409569,3D,"(38.9917, -77.0241)"
2,Simple Assault,GERMANTOWN,20874,Street - Commercial,39.1802436,-77.26849811,5D,"(39.1802, -77.2685)"
1,Simple Assault,KENSINGTON,20895,Street - Residential,39.03851379,-77.06137434,4D,"(39.0385, -77.0614)"
1,Drug Equipment Violations,GERMANTOWN,20874,Street - In vehicle,39.19841321,-77.24494574,5D,"(39.1984, -77.2449)"
1,All Other Offenses,SILVER SPRING,20905,Street - In vehicle,0,0,4D,"(0.0, 0.0)"
1,All Other Offenses,SILVER SPRING,20906,Residence - Single Family,39.09892,-77.0521,4D,"(39.0989, -77.0521)"
1,All Other Offenses,ROCKVILLE,20850,Other/Unknown,39.07533,-77.1529,1D,"(39.0753, -77.1529)"
1,All other Larceny,KENSINGTON,20895,Residence - Other,39.01653,-77.0883,2D,"(39.0165, -77.0883)"
1,Shoplifting,GERMANTOWN,20876,Retail - Department/Discount Store,39.19927,-77.2459,5D,"(39.1993, -77.2459)"
1,Destruction/Damage/Vandalism of Property,SILVER SPRING,20901,Grocery/Supermarket,39.02074,-77.0128,3D,"(39.0207, -77.0128)"
1,All Other Offenses,SILVER SPRING,20904,Auto Dealership,39.07905,-76.9468,3D,"(39.0791, -76.9468)"
1,All Other Offenses,ROCKVILLE,20850,Other/Unknown,39.08415,-77.1527,1D,"(39.0842, -77.1527)"
1,Simple Assault,ROCKVILLE,20853,Gas Station,39.08022639,-77.08058037,4D,"(39.0802, -77.0806)"
1,Shoplifting,ROCKVILLE,20850,Grocery/Supermarket,39.09199615,-77.15328049,1D,"(39.092, -77.1533)"
1,Credit Card/Automatic Teller Machine Fraud,GAITHERSBURG,20878,Other/Unknown,39.14188,-77.2217,6D,"(39.1419, -77.2217)"
1,Destruction/Damage/Vandalism of Property,SILVER SPRING,20901,Street - Residential,39.03552,-76.997,3D,"(39.0355, -76.997)"
1,Theft From Motor Vehicle,GERMANTOWN,20874,Parking Lot - Residential,39.15549,-77.2763,5D,"(39.1555, -77.2763)"
1,Credit Card/Automatic Teller Machine Fraud,ASHTON,20861,Other/Unknown,39.15006,-77.0127,4D,"(39.1501, -77.0127)"
1,False Pretenses/Swindle/Confidence Game,ROCKVILLE,20850,Other/Unknown,39.1129,-77.1847,1D,"(39.1129, -77.1847)"
1,Simple Assault,POTOMAC,20854,Government Building,39.01809086,-77.20901173,2D,"(39.0181, -77.209)"
1,"Family Offenses, NonViolent",SILVER SPRING,20902,Residence - Single Family,39.03021357,-77.0515848,4D,"(39.0302, -77.0516)"
1,Aggravated Assault,SILVER SPRING,20902,Residence - Single Family,39.03021357,-77.0515848,4D,"(39.0302, -77.0516)"
1,Burglary/Breaking and Entering,SILVER SPRING,20902,Residence - Shed,39.05467,-77.0564,4D,"(39.0547, -77.0564)"
1,Simple Assault,ROCKVILLE,20850,School/College - DO NOT USE,39.10182098,-77.20031518,6D,"(39.1018, -77.2003)"
1,All other Larceny,SILVER SPRING,20904,Street - Bus Stop,39.03984,-76.9907,3D,"(39.0398, -76.9907)"
1,All Other Offenses,SILVER SPRING,20904,Residence - Apartment/Condo,39.07774,-76.9337,3D,"(39.0777, -76.9337)"
2,Kidnapping/Abduction,SILVER SPRING,20910,Residence - Garage,38.9946,-77.0244,3D,"(38.9946, -77.0244)"
1,Robbery,SILVER SPRING,20910,Parking Lot - Commercial,38.99305,-77.0267,3D,"(38.993, -77.0267)"
1,Theft From Motor Vehicle,SILVER SPRING,20903,Street - Residential,39.0218,-76.9874,3D,"(39.0218, -76.9874)"
1,Identity Theft,SILVER SPRING,20905,Other/Unknown,39.10004,-77.0121,4D,"(39.1, -77.0121)"
1,Credit Card/Automatic Teller Machine Fraud,KENSINGTON,20895,Other/Unknown,39.02115,-77.0711,2D,"(39.0211, -77.0711)"
1,Motor Vehicle Theft,BETHESDA,20816,Street - Residential,38.9550031,-77.10315774,2D,"(38.955, -77.1032)"
1,All Other Offenses,DERWOOD,20855,Other/Unknown,39.10737,-77.1475,1D,"(39.1074, -77.1475)"
1,Simple Assault,GERMANTOWN,20874,Residence - Apartment/Condo,39.1965221,-77.27573323,5D,"(39.1965, -77.2757)"
1,All Other Offenses,GAITHERSBURG,20878,Hotel/Motel/Etc.,39.14795374,-77.2181894,6D,"(39.148, -77.2182)"
1,Simple Assault,ROCKVILLE,20850,Residence - Apartment/Condo,39.07534359,-77.15301189,1D,"(39.0753, -77.153)"
1,Shoplifting,TAKOMA PARK,20912,Retail - Other,38.98590052,-76.9881402,8D,"(38.9859, -76.9881)"
1,Burglary/Breaking and Entering,GERMANTOWN,20874,Residence -Townhouse/Duplex,0,0,5D,"(0.0, 0.0)"
1,Simple Assault,GERMANTOWN,20874,Residence -Townhouse/Duplex,39.16105206,-77.2684436,5D,"(39.1611, -77.2684)"
1,Simple Assault,SILVER SPRING,20910,Street - Alley,38.99548,-77.0244,3D,"(38.9955, -77.0244)"
1,Destruction/Damage/Vandalism of Property,SILVER SPRING,20904,Street - Residential,0,0,3D,"(0.0, 0.0)"
1,Simple Assault,SILVER SPRING,20906,Residence - Apartment/Condo,39.10627,-77.0695,4D,"(39.1063, -77.0695)"
1,All Other Offenses,SILVER SPRING,20910,Residence - Apartment/Condo,0,0,3D,"(0.0, 0.0)"
1,Motor Vehicle Theft,ROCKVILLE,20852,Parking Garage - Residential,39.06365,-77.1169,1D,"(39.0637, -77.1169)"
1,Theft From Motor Vehicle,OLNEY,20832,Residence - Driveway,39.17134883,-77.07747634,4D,"(39.1713, -77.0775)"
1,All Other Offenses,GERMANTOWN,20874,Residence -Townhouse/Duplex,39.1691433,-77.26801829,5D,"(39.1691, -77.268)"
1,Simple Assault,KENSINGTON,20895,Government Building,39.03719,-77.0724,4D,"(39.0372, -77.0724)"
1,All Other Offenses,GAITHERSBURG,20877,Residence - Single Family,39.13015336,-77.18167789,6D,"(39.1302, -77.1817)"
1,All Other Offenses,BETHESDA,20817,Residence - Single Family,38.99250225,-77.10843242,2D,"(38.9925, -77.1084)"
1,Counterfeiting/Forgery,CHEVY CHASE,20815,Retail - Drug Store/Pharmacy,38.99489853,-77.07717463,2D,"(38.9949, -77.0772)"
1,All Other Offenses,SILVER SPRING,20902,Residence - Single Family,39.04092364,-77.01569005,4D,"(39.0409, -77.0157)"
1,All Other Offenses,MONTGOMERY VILLAGE,20886,Residence -Townhouse/Duplex,39.18054284,-77.21511731,6D,"(39.1805, -77.2151)"
1,Simple Assault,GERMANTOWN,20876,Street - Bus Stop,39.1812388,-77.23839885,5D,"(39.1812, -77.2384)"
1,Forcible Rape,SILVER SPRING,20905,Residence - Single Family,39.0919,-76.9563,3D,"(39.0919, -76.9563)"
1,Destruction/Damage/Vandalism of Property,ROCKVILLE,20852,Residence - Apartment/Condo,0,0,1D,"(0.0, 0.0)"
1,All Other Offenses,BETHESDA,20817,Residence - Single Family,38.97925,-77.1248,2D,"(38.9793, -77.1248)"
1,Driving Under the Influence,SILVER SPRING,20910,Street - In vehicle,39.00864242,-77.04025827,3D,"(39.0086, -77.0403)"
1,Weapon Law Violations,SILVER SPRING,20901,Residence - Apartment/Condo,39.03877674,-76.99251233,3D,"(39.0388, -76.9925)"
1,All Other Offenses,ROCKVILLE,20850,Street - Commercial,39.09661565,-77.19932214,6D,"(39.0966, -77.1993)"
1,All Other Offenses,ROCKVILLE,20851,Residence - Apartment/Condo,39.06765252,-77.11249385,1D,"(39.0677, -77.1125)"
1,Theft from Building,CHEVY CHASE,20815,Residence - Single Family,38.97210422,-77.09422818,2D,"(38.9721, -77.0942)"
1,Counterfeiting/Forgery,CHEVY CHASE,20815,Residence - Single Family,38.97210422,-77.09422818,2D,"(38.9721, -77.0942)"
1,Burglary/Breaking and Entering,SILVER SPRING,20904,Other/Unknown,39.03978273,-76.9906186,3D,"(39.0398, -76.9906)"
1,Aggravated Assault,BETHESDA,20814,Street - Commercial,38.98623538,-77.09229347,2D,"(38.9862, -77.0923)"
1,Destruction/Damage/Vandalism of Property,SILVER SPRING,20902,Parking Lot - Commercial,39.0373839,-77.05168233,4D,"(39.0374, -77.0517)"
1,Driving Under the Influence,DERWOOD,20855,Street - Residential,39.11849618,-77.15692521,1D,"(39.1185, -77.1569)"
1,All Other Offenses,BURTONSVILLE,20866,Residence -Townhouse/Duplex,39.10149883,-76.92596454,3D,"(39.1015, -76.926)"
1,All Other Offenses,GERMANTOWN,20876,Residence -Townhouse/Duplex,39.18311133,-77.23004642,5D,"(39.1831, -77.23)"
1,Forcible Rape,GERMANTOWN,20874,Residence - Single Family,39.1495,-77.2802,5D,"(39.1495, -77.2802)"
1,All Other Offenses,POTOMAC,20854,Residence - Single Family,39.0649046,-77.26111758,1D,"(39.0649, -77.2611)"
1,Simple Assault,ROCKVILLE,20853,Residence - Single Family,39.07758,-77.0869,4D,"(39.0776, -77.0869)"
1,All Other Offenses,POTOMAC,20854,Residence - Single Family,39.01357,-77.2166,2D,"(39.0136, -77.2166)"
1,All Other Offenses,ROCKVILLE,,Field/ Open Space,39.0857024,-77.15196931,1D,"(39.0857, -77.152)"
1,All Other Offenses,SILVER SPRING,20910,Hotel/Motel/Etc.,38.99770109,-77.02699356,3D,"(38.9977, -77.027)"
1,All Other Offenses,MONTGOMERY VILLAGE,20886,Street - Residential,39.17921378,-77.21362949,6D,"(39.1792, -77.2136)"
1,All Other Offenses,GERMANTOWN,20874,Residence - Apartment/Condo,39.19652209,-77.27576032,5D,"(39.1965, -77.2758)"
1,All Other Offenses,SILVER SPRING,20903,Residence - Single Family,39.01717199,-76.98053358,3D,"(39.0172, -76.9805)"
1,All other Larceny,ROCKVILLE,20852,Restaurant,39.05509,-77.1189,1D,"(39.0551, -77.1189)"
1,All Other Offenses,ROCKVILLE,20850,Government Building,39.1018706,-77.17713485,1D,"(39.1019, -77.1771)"
1,Driving Under the Influence,POTOMAC,20854,Street - In vehicle,39.05759108,-77.15785929,1D,"(39.0576, -77.1579)"
1,All Other Offenses,GAITHERSBURG,20879,Residence -Townhouse/Duplex,39.17584281,-77.186081,6D,"(39.1758, -77.1861)"
1,Theft From Motor Vehicle,BETHESDA,20817,Residence - Driveway,39.00119291,-77.16583106,2D,"(39.0012, -77.1658)"
1,Motor Vehicle Theft,BETHESDA,20817,Residence - Driveway,39.00119291,-77.16583106,2D,"(39.0012, -77.1658)"
1,All Other Offenses,SILVER SPRING,20904,Street - Residential,39.06592878,-76.9725218,3D,"(39.0659, -76.9725)"
1,Counterfeiting/Forgery,CLARKSBURG,20871,Bank - ATM,39.23392178,-77.24263079,5D,"(39.2339, -77.2426)"
1,Driving Under the Influence,GERMANTOWN,20874,Street - In vehicle,39.1845553,-77.26510418,5D,"(39.1846, -77.2651)"
1,Driving Under the Influence,GAITHERSBURG,20877,Street - In vehicle,0,0,6D,"(0.0, 0.0)"
1,Driving Under the Influence,BETHESDA,20814,Street - Other,0,0,2D,"(0.0, 0.0)"
1,All Other Offenses,SILVER SPRING,20904,Residence - Single Family,39.06854,-76.9453,3D,"(39.0685, -76.9453)"
2,Simple Assault,ROCKVILLE,20852,Shelter-Mission/Homeless,39.04787,-77.1055,2D,"(39.0479, -77.1055)"
1,All other Larceny,GAITHERSBURG,20878,Street - Other,39.11449469,-77.25293446,1D,"(39.1145, -77.2529)"
1,Credit Card/Automatic Teller Machine Fraud,GAITHERSBURG,20878,Other/Unknown,39.11449469,-77.25293446,1D,"(39.1145, -77.2529)"
1,All Other Offenses,SILVER SPRING,20903,Bank - ATM,39.02099,-76.9777,3D,"(39.021, -76.9777)"
2,Aggravated Assault,SILVER SPRING,20904,Residence - Apartment/Condo,39.04102,-76.9821,3D,"(39.041, -76.9821)"
1,Theft of Motor Vehicle Parts or Accessories,GAITHERSBURG,20877,Parking Garage - Residential,39.14501,-77.1941,6D,"(39.145, -77.1941)"
1,Identity Theft,GERMANTOWN,20874,Other/Unknown,39.18453,-77.2635,5D,"(39.1845, -77.2635)"
1,Driving Under the Influence,SILVER SPRING,20910,Street - In vehicle,0,0,3D,"(0.0, 0.0)"
1,Theft From Motor Vehicle,SILVER SPRING,20906,Street - Other,39.08693,-77.0738,4D,"(39.0869, -77.0738)"
1,Destruction/Damage/Vandalism of Property,SILVER SPRING,20906,Street - Other,39.08693,-77.0738,4D,"(39.0869, -77.0738)"
1,Pornography/Obscene Material,SILVER SPRING,20902,Residence - Single Family,39.05842,-77.0484,4D,"(39.0584, -77.0484)"
1,All Other Offenses,SILVER SPRING,20901,Residence - Apartment/Condo,39.03878575,-76.99248995,3D,"(39.0388, -76.9925)"
1,Destruction/Damage/Vandalism of Property,GAITHERSBURG,20878,Street - Residential,39.11833,-77.229,6D,"(39.1183, -77.229)"
1,Theft of Motor Vehicle Parts or Accessories,SILVER SPRING,20910,Street - Residential,38.993,-77.0186,3D,"(38.993, -77.0186)"
1,Robbery,SILVER SPRING,20910,Street - Other,0,0,3D,"(0.0, 0.0)"
1,Motor Vehicle Theft,SILVER SPRING,20910,Parking Lot - Residential,38.99770382,-77.04193442,2D,"(38.9977, -77.0419)"
1,All Other Offenses,ROCKVILLE,20850,Residence - Apartment/Condo,39.09772,-77.1655,1D,"(39.0977, -77.1655)"
1,All Other Offenses,BETHESDA,20816,Residence - Single Family,38.9577,-77.0995,2D,"(38.9577, -77.0995)"
1,Theft From Motor Vehicle,TAKOMA PARK,20912,Street - Residential,38.9872755,-76.99084012,8D,"(38.9873, -76.9908)"
1,Motor Vehicle Theft,BETHESDA,20816,Residence - Driveway,38.95265472,-77.10268754,2D,"(38.9527, -77.1027)"
1,Shoplifting,,20912,Retail - Drug Store/Pharmacy,39.03656864,-77.03090986,8D,"(39.0366, -77.0309)"
1,Shoplifting,,20912,Retail - Drug Store/Pharmacy,39.03656864,-77.03090986,8D,"(39.0366, -77.0309)"
1,All Other Offenses,GAITHERSBURG,20879,Residence - Apt Ofc/Storage,39.15473,-77.1695,6D,"(39.1547, -77.1695)"
1,All other Larceny,TAKOMA PARK,20912,Street - In vehicle,38.97464633,-77.01218274,8D,"(38.9746, -77.0122)"
1,Pocket/picking,SILVER SPRING,20902,School - Elementary/Secondary,39.0256,-77.0331,4D,"(39.0256, -77.0331)"
1,Drug/Narcotic Violations,GERMANTOWN,20874,School - Elementary/Secondary,39.16598,-77.288,5D,"(39.166, -77.288)"
1,Shoplifting,MONTGOMERY VILLAGE,20886,Retail - Drug Store/Pharmacy,39.17024,-77.2049,6D,"(39.1702, -77.2049)"
1,Motor Vehicle Theft,GERMANTOWN,20874,Residence - Driveway,0,0,1D,"(0.0, 0.0)"
1,Forcible Rape,ROCKVILLE,20852,Residence - Apartment/Condo,39.02735572,-77.10741102,2D,"(39.0274, -77.1074)"
1,Burglary/Breaking and Entering,TAKOMA PARK,20912,Restaurant,38.98590052,-76.9881402,8D,"(38.9859, -76.9881)"
